ZCTA5,Total:,    Hispanic or Latino,    Not Hispanic or Latino:,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Population of two races:,            Population of three races:,            Population of four races:,            Population of five races:,            Population of six races:
84736,236,11,225,204,1,13,0,0,0,7,0,0,0,0
84737,"21,212","2,119","19,093","17,794",73,163,144,119,86,682,32,0,0,0
84738,"9,064",766,"8,298","7,751",22,102,82,56,42,226,15,2,0,0
84739,408,11,397,360,1,16,0,0,0,16,2,2,0,0
84740,212,11,201,198,0,0,0,0,0,3,0,0,0,0
84741,"6,034",274,"5,760","5,419",21,92,52,1,16,144,10,4,1,0
84742,545,20,525,498,0,4,10,1,2,10,0,0,0,0
84743,134,0,134,134,0,0,0,0,0,0,0,0,0,0
84744,334,12,322,296,0,1,0,2,0,23,0,0,0,0
84745,"4,347",496,"3,851","3,620",7,38,20,26,16,116,8,0,0,0
84746,"1,162",51,"1,111","1,073",0,6,7,0,6,19,0,0,0,0
84747,969,29,940,901,0,3,2,1,2,29,1,0,1,0
84749,212,9,203,190,0,0,4,0,1,7,1,0,0,0
84750,390,3,387,378,0,1,0,0,1,6,1,0,0,0
84751,"1,662",365,"1,297","1,236",0,18,7,6,1,22,2,4,0,1
84752,891,116,775,753,0,1,0,7,0,12,1,1,0,0
84753,21,1,20,18,0,0,0,0,0,2,0,0,0,0
84754,"4,004",169,"3,835","3,668",13,22,4,8,9,103,6,2,0,0
84755,83,4,79,73,0,1,0,0,0,5,0,0,0,0
84756,447,126,321,302,2,4,3,0,1,8,1,0,0,0
84757,"1,653",90,"1,563","1,510",4,9,10,0,3,26,1,0,0,0
84758,588,14,574,556,0,2,2,0,0,12,1,1,0,0
84759,"2,064",109,"1,955","1,846",4,31,11,3,0,49,11,0,0,0
84760,824,31,793,768,0,3,1,0,1,19,1,0,0,0
84761,"3,210",219,"2,991","2,895",1,13,14,4,5,52,7,0,0,0
84762,393,13,380,363,4,5,4,0,1,3,0,0,0,0
84763,226,11,215,198,2,2,0,0,4,9,0,0,0,0
84764,357,169,188,142,0,21,6,2,3,12,2,0,0,0
84765,"7,593",519,"7,074","6,647",12,25,72,56,10,237,15,0,0,0
84766,166,9,157,146,0,0,2,0,2,4,3,0,0,0
84767,648,74,574,534,3,5,10,2,5,15,0,0,0,0
84770,"44,505","7,816","36,689","33,170",392,579,407,498,156,"1,386",101,0,0,0
84772,178,13,165,156,0,2,1,0,0,6,0,0,0,0
84773,250,16,234,225,0,1,1,0,1,3,2,1,0,0
84774,"1,865",90,"1,775","1,690",2,11,17,1,19,33,2,0,0,0
84775,430,17,413,384,1,1,8,1,0,16,1,1,0,0
84776,488,30,458,440,0,10,0,0,0,8,0,0,0,0
84779,730,66,664,619,8,8,4,3,3,13,5,1,0,0
84780,"28,025","2,704","25,321","23,431",122,194,291,248,86,861,85,2,0,1
84781,257,14,243,238,0,0,0,0,1,3,1,0,0,0
84782,907,38,869,843,1,1,0,0,4,20,0,0,0,0
84783,907,40,867,818,2,14,2,0,5,26,0,0,0,0
84784,"1,127",33,"1,094","1,085",0,3,1,0,1,3,1,0,0,0
84790,"52,982","5,396","47,586","43,639",253,386,726,596,174,"1,701",109,1,1,0
86044,"4,127",45,"4,082",94,5,"3,915",2,3,2,57,4,0,0,0
86514,"2,399",34,"2,365",39,3,"2,280",14,5,0,20,4,0,0,0
