ZCTA5,Total:,    White alone,    Black or African American alone,    American Indian and Alaska Native alone,    Asian alone,    Native Hawaiian and Other Pacific Islander alone,    Some other race alone,    Two or more races:,        Two races including Some other race,"        Two races excluding Some other race, and three or more races"
84518,978,952,0,20,0,0,0,6,0,6
84520,"1,134","1,083",0,15,0,0,0,36,0,36
84521,576,538,0,0,0,38,0,0,0,0
84522,375,339,7,0,0,0,0,29,0,29
84523,"1,740","1,737",0,0,0,0,0,3,1,2
84525,822,798,0,0,0,0,0,24,24,0
84526,"4,228","4,027",2,25,0,0,54,120,39,81
84528,"2,835","2,665",0,46,0,0,0,124,0,124
84529,89,89,0,0,0,0,0,0,0,0
84530,113,113,0,0,0,0,0,0,0,0
84531,478,0,0,478,0,0,0,0,0,0
84532,"10,001","9,056",1,353,147,53,153,238,9,229
84533,112,88,11,0,0,0,0,13,0,13
84534,"2,646",30,0,"2,578",0,0,0,38,10,28
84535,"2,968","2,736",37,147,0,0,19,29,11,18
84536,"1,495",76,0,"1,418",0,0,1,0,0,0
84537,"1,083","1,060",0,0,0,0,0,23,0,23
84539,390,354,0,15,0,0,4,17,7,10
84540,104,104,0,0,0,0,0,0,0,0
84542,"1,439","1,338",14,0,0,0,47,40,17,23
84601,"33,109","27,206",425,596,513,223,"1,816","2,330","1,170","1,160"
84602,"1,748","1,623",11,0,38,15,15,46,3,43
84604,"43,006","36,685",377,514,"1,297",702,937,"2,494",482,"2,012"
84606,"35,960","29,056",391,80,"1,147",346,"1,796","3,144","1,059","2,085"
84620,"1,183","1,150",4,0,0,0,25,4,0,4
84621,57,57,0,0,0,0,0,0,0,0
84622,"1,291","1,179",0,0,0,0,91,21,0,21
84623,151,39,0,0,0,0,112,0,0,0
84624,"5,739","4,986",31,41,65,3,294,319,242,77
84626,496,356,0,0,0,44,22,74,0,74
84627,"6,044","5,491",70,0,70,45,331,37,15,22
84628,629,594,0,3,0,0,4,28,27,1
84629,"3,309","3,263",0,0,0,0,22,24,3,21
84630,431,217,0,0,0,0,214,0,0,0
84631,"2,927","2,433",2,0,109,0,343,40,3,37
84632,"1,147","1,095",0,0,0,0,20,32,3,29
84633,"1,003",842,0,4,2,2,107,46,44,2
84634,"3,752","2,359",66,24,53,36,969,245,28,217
84635,836,615,0,47,0,0,174,0,0,0
84636,513,500,0,0,0,0,0,13,0,13
84637,750,612,0,58,5,3,51,21,4,17
84638,321,264,0,0,3,0,0,54,28,26
84639,891,878,0,0,0,0,6,7,6,1
84640,216,209,0,0,2,5,0,0,0,0
84642,"3,577","3,229",71,71,11,5,108,82,9,73
84643,526,515,0,9,0,0,1,1,1,0
84644,238,222,0,4,0,0,4,8,6,2
84645,"3,064","2,903",0,34,0,0,54,73,44,29
84646,"1,559","1,254",3,0,30,31,198,43,17,26
84647,"4,582","4,213",41,13,37,41,126,111,9,102
84648,"6,952","6,268",25,65,37,0,209,348,109,239
84649,913,877,0,0,0,8,23,5,5,0
84651,"28,128","25,344",143,239,185,181,758,"1,278",578,700
84652,943,909,0,0,4,0,25,5,4,1
84653,"10,869","10,010",51,27,28,39,53,661,396,265
84654,"2,533","2,362",7,28,13,14,104,5,5,0
84655,"15,303","13,873",137,84,0,123,549,537,181,356
84656,358,355,0,0,0,0,1,2,0,2
84657,598,443,0,0,8,0,141,6,0,6
84660,"45,182","42,167",202,206,89,124,554,"1,840",510,"1,330"
84662,"1,517","1,412",4,42,5,6,41,7,3,4
84663,"35,124","30,619",140,155,250,191,"2,117","1,652",956,696
84664,"11,226","10,577",80,40,0,25,89,415,191,224
84665,621,559,14,10,0,0,32,6,2,4
84667,372,357,0,0,0,0,0,15,15,0
84701,"8,425","7,928",103,86,17,0,72,219,154,65
84710,424,240,0,178,0,0,0,6,0,6
84711,887,849,0,20,0,0,0,18,0,18
84712,124,124,0,0,0,0,0,0,0,0
84713,"3,437","3,200",11,35,0,11,157,23,23,0
84714,751,601,0,0,0,0,150,0,0,0
84715,352,345,0,0,0,0,3,4,0,4
84716,419,386,0,0,0,0,33,0,0,0
84718,374,289,0,85,0,0,0,0,0,0
84719,35,35,0,0,0,0,0,0,0,0
84720,"22,797","20,444",335,261,379,104,235,"1,039",553,486
84721,"27,319","24,616",57,606,129,12,673,"1,226",633,593
84722,927,927,0,0,0,0,0,0,0,0
84723,532,461,0,0,0,0,35,36,14,22
84724,"1,069",892,0,16,10,61,58,32,0,32
84725,"1,563","1,535",0,0,0,0,28,0,0,0
84726,716,702,0,2,0,0,1,11,0,11
84728,49,49,0,0,0,0,0,0,0,0
84729,414,414,0,0,0,0,0,0,0,0
84730,627,602,0,14,0,0,11,0,0,0
84731,9,9,0,0,0,0,0,0,0,0
84732,56,56,0,0,0,0,0,0,0,0
84733,257,184,0,0,0,0,0,73,0,73
84734,310,297,0,0,0,0,0,13,2,11
84735,160,160,0,0,0,0,0,0,0,0
84736,305,267,0,31,0,4,3,0,0,0
84737,"20,896","19,692",270,54,54,85,217,524,218,306
84738,"8,928","8,183",20,169,126,37,117,276,13,263
84739,657,576,0,52,0,11,0,18,0,18
84740,301,301,0,0,0,0,0,0,0,0
84741,"6,016","5,571",15,172,84,24,99,51,0,51
84742,330,328,0,0,0,0,0,2,0,2
84743,280,280,0,0,0,0,0,0,0,0
84744,311,304,0,0,0,0,0,7,1,6
84745,"4,286","3,657",0,19,0,0,511,99,24,75
84746,"1,187","1,156",0,9,0,0,4,18,16,2
84747,"1,064","1,027",0,15,0,0,2,20,5,15
84749,238,238,0,0,0,0,0,0,0,0
84750,591,563,5,0,0,0,0,23,23,0
84751,"2,481","2,094",0,11,0,0,160,216,33,183
84752,"1,035","1,016",0,0,0,0,3,16,0,16
84753,0,0,0,0,0,0,0,0,0,0
84754,"4,024","3,824",17,6,30,0,0,147,98,49
84755,31,31,0,0,0,0,0,0,0,0
84756,279,279,0,0,0,0,0,0,0,0
84757,"1,265","1,236",0,0,18,0,0,11,11,0
84758,536,523,0,0,0,0,3,10,0,10
84759,"2,273","2,062",6,99,1,25,38,42,33,9
84760,982,934,0,4,24,1,2,17,0,17
84761,"2,927","2,630",0,127,12,0,105,53,0,53
84762,102,102,0,0,0,0,0,0,0,0
84763,199,182,0,0,0,0,0,17,0,17
84764,258,258,0,0,0,0,0,0,0,0
84765,"7,697","6,885",48,0,169,45,260,290,0,290
84766,232,232,0,0,0,0,0,0,0,0
84767,684,609,35,0,0,15,22,3,3,0
84770,"44,908","39,393",181,424,223,412,"2,438","1,837","1,056",781
84772,241,241,0,0,0,0,0,0,0,0
84773,160,160,0,0,0,0,0,0,0,0
84774,"1,818","1,555",8,0,4,30,38,183,60,123
84775,376,376,0,0,0,0,0,0,0,0
84776,463,463,0,0,0,0,0,0,0,0
84779,806,746,0,13,0,0,40,7,0,7
84780,"27,762","24,195",56,422,347,80,"1,405","1,257",836,421
84781,351,351,0,0,0,0,0,0,0,0
84782,470,356,0,0,0,0,114,0,0,0
84783,"1,042","1,042",0,0,0,0,0,0,0,0
84784,"1,069","1,000",0,0,0,0,0,69,69,0
84790,"50,503","44,713",549,784,704,454,"1,271","2,028",557,"1,471"
86044,"3,149",13,0,"2,850",13,0,20,253,223,30
86514,"3,367",72,9,"3,191",24,4,15,52,7,45
